date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,22,9,0,8.7,4,3.04166666666667,31,4.25,14.9166666666667,15.4166666666667,14.9166666666667,16.4583333333333,4.95833333333333,49.875,0,1016.20833333333,12.8333333333333,10,312.666666666667,10.5
2009-01-02,22,5,0,8.7,4,2.95833333333333,38,7.75,16.5833333333333,16.6666666666667,16.5833333333333,6.25,2.41666666666667,59.625,0,1016.75,11.875,10,275.333333333333,3.41666666666667
2009-01-03,22,6,0,8.7,4,3,45,6.20833333333333,16.125,16.3333333333333,16.125,9.5,10.0416666666667,54.6666666666667,0,1016.70833333333,12.4166666666667,10,102.458333333333,5.125
2009-01-04,20,8,0,8.7,4,3.16666666666667,52,4.58333333333333,15.4583333333333,16.0416666666667,15.4583333333333,11.75,23.0833333333333,48,0,1015.04166666667,14.4583333333333,10,81.0416666666667,6.375
2009-01-05,22,11,0,8.7,4,3.08333333333333,60,8.45833333333333,16.2083333333333,16.8333333333333,16.2083333333333,11,11.375,61.375,0,1014.66666666667,14.7083333333333,10,172.75,6.25
2009-01-06,22,8,0,8.7,4,3,67,9.125,16.2083333333333,16.75,16.2083333333333,10.2916666666667,3.41666666666667,64.9166666666667,0,1015.54166666667,13.1666666666667,10,159.916666666667,5.91666666666667
2009-01-07,21,7,0,8.7,4,3,74,7.45833333333333,16.8333333333333,17.125,16.8333333333333,13.1666666666667,1.83333333333333,55.9166666666667,0,1018.29166666667,13.3333333333333,10,297.666666666667,7.75
2009-01-08,22,5,0,8.7,4,2.875,82,6.95833333333333,16.5416666666667,16.5833333333333,16.5416666666667,9.25,0,56.5833333333333,0,1021.41666666667,11.3333333333333,10,272.458333333333,6.375
2009-01-09,20,3,0,8.7,4,2.875,89,3.54166666666667,14.4166666666667,14.5833333333333,14.4166666666667,9.5,15.9166666666667,50.375,0,1021.20833333333,12,10,189.541666666667,5.08333333333333
2009-01-10,22,11,0,8.7,5,3.20833333333333,96,7.29166666666667,16.7916666666667,17.375,16.7916666666667,13.6666666666667,7.16666666666667,53.5416666666667,0,1020.20833333333,14.875,10,305.625,7.875
2009-01-11,21,7,0,8.7,4,3,100,6.33333333333333,15.375,15.9166666666667,15.375,13.2083333333333,14.7916666666667,56.9583333333333,0,1019.875,12.9166666666667,10,312.208333333333,8.41666666666667
